Marka,Model,Nazwa części,Cena zakupu [zł],Średnia cena rynkowa,Ilość aukcji na rynku,Popyt
BMW,E46,Wahacz przedni,303,328,354,370
BMW,E46,Amortyzator tylni,426,433,298,460
BMW,E46,Klocki hamulcowe,97,102,473,420
BMW,E46,Maglownica,340,387,256,240
BMW,E46,Sprzęgło dwumasowe,422,450,203,450
BMW,E46,Wtrysk bezpośredni paliwa,211,226,804,540
BMW,E46,Tarcza hamulcowa,151,170,657,790
BMW,E46,Sprężyna przednia,230,247,717,450
BMW,E46,Filtr oleju,81,93,1406,1910
BMW,E46,Chłodnica,1833,1945,46,50
BMW,X6,Wahacz przedni,462,479,385,530
BMW,X6,Amortyzator tylni,478,497,386,610
BMW,X6,Klocki hamulcowe,171,190,538,1000
BMW,X6,Maglownica,323,340,138,370
BMW,X6,Sprzęgło dwumasowe,404,420,279,500
BMW,X6,Wtrysk bezpośredni paliwa,201,234,856,1240
BMW,X6,Tarcza hamulcowa,98,127,751,810
BMW,X6,Sprężyna przednia,189,209,568,660
BMW,X6,Filtr oleju,80,86,1031,1480
BMW,X6,Chłodnica,1093,1248,29,40
BMW,E60,Wahacz przedni,202,213,255,430
BMW,E60,Amortyzator tylni,445,473,327,530
BMW,E60,Klocki hamulcowe,131,151,483,1040
BMW,E60,Maglownica,499,531,244,100
BMW,E60,Sprzęgło dwumasowe,431,452,364,210
BMW,E60,Wtrysk bezpośredni paliwa,124,157,1174,640
BMW,E60,Tarcza hamulcowa,185,198,755,670
BMW,E60,Sprężyna przednia,116,143,549,850
BMW,E60,Filtr oleju,72,83,1434,1110
BMW,E60,Chłodnica,1750,1883,46,30
BMW,F30,Wahacz przedni,580,594,252,470
BMW,F30,Amortyzator tylni,444,469,392,380
BMW,F30,Klocki hamulcowe,113,130,661,550
BMW,F30,Maglownica,282,312,227,180
BMW,F30,Sprzęgło dwumasowe,692,708,493,330
BMW,F30,Wtrysk bezpośredni paliwa,195,213,494,550
BMW,F30,Tarcza hamulcowa,147,178,691,650
BMW,F30,Sprężyna przednia,238,279,573,540
BMW,F30,Filtr oleju,38,56,1459,1230
BMW,F30,Chłodnica,1378,1543,49,40
BMW,Z4,Wahacz przedni,429,441,349,350
BMW,Z4,Amortyzator tylni,336,342,275,460
BMW,Z4,Klocki hamulcowe,127,135,781,1180
BMW,Z4,Maglownica,474,505,161,370
BMW,Z4,Sprzęgło dwumasowe,682,693,470,230
BMW,Z4,Wtrysk bezpośredni paliwa,141,166,1011,1350
BMW,Z4,Tarcza hamulcowa,80,96,675,720
BMW,Z4,Sprężyna przednia,148,180,764,850
BMW,Z4,Filtr oleju,65,71,1457,1560
BMW,Z4,Chłodnica,1475,1591,17,40
BMW,E39,Wahacz przedni,571,597,373,280
BMW,E39,Amortyzator tylni,426,452,363,390
BMW,E39,Klocki hamulcowe,65,80,521,810
BMW,E39,Maglownica,311,327,263,280
