Marka,Model,Nazwa części,Cena zakupu [zł],Średnia cena rynkowa,Ilość aukcji na rynku,Popyt
BMW,e46,Wahacz przedni,488,512,310,690
AUDI,A6,Wahacz przedni,542,570,326,590
Volksvagen,Golf 7,Wahacz przedni,416,439,293,550
Opel,Insignia,Wahacz przedni,481,494,319,510
Skoda,Fabia,Wahacz przedni,252,272,335,290
Mazda,mx5,Wahacz przedni,388,417,323,280
Toyota,Corolla,Wahacz przedni,433,444,319,310
Fiat,Panda,Wahacz przedni,226,255,286,780
Alfa Romeo,Gulia,Wahacz przedni,563,573,385,510
Chevrolet,Camaro,Wahacz przedni,271,301,314,520
BMW,e46,Amortyzator tylni,484,513,256,310
AUDI,A6,Amortyzator tylni,457,478,327,340
Volksvagen,Golf 7,Amortyzator tylni,383,404,310,750
Opel,Insignia,Amortyzator tylni,300,330,313,770
Skoda,Fabia,Amortyzator tylni,392,409,363,440
Mazda,mx5,Amortyzator tylni,338,364,262,660
Toyota,Corolla,Amortyzator tylni,414,446,321,260
Fiat,Panda,Amortyzator tylni,407,440,305,510
Alfa Romeo,Gulia,Amortyzator tylni,369,385,329,540
Chevrolet,Camaro,Amortyzator tylni,333,340,271,780
BMW,e46,Klocki hamulcowe,77,96,412,860
AUDI,A6,Klocki hamulcowe,143,158,720,1070
Volksvagen,Golf 7,Klocki hamulcowe,118,127,736,400
Opel,Insignia,Klocki hamulcowe,103,117,719,440
Skoda,Fabia,Klocki hamulcowe,169,178,486,700
Mazda,mx5,Klocki hamulcowe,78,93,452,790
Toyota,Corolla,Klocki hamulcowe,74,79,478,1050
Fiat,Panda,Klocki hamulcowe,102,119,416,540
Alfa Romeo,Gulia,Klocki hamulcowe,164,176,590,590
Chevrolet,Camaro,Klocki hamulcowe,64,73,486,890
BMW,e46,Maglownica,361,373,170,310
AUDI,A6,Maglownica,326,348,258,170
Volksvagen,Golf 7,Maglownica,470,484,150,340
Opel,Insignia,Maglownica,228,263,285,200
Skoda,Fabia,Maglownica,464,480,128,370
Mazda,mx5,Maglownica,258,289,110,140
Toyota,Corolla,Maglownica,464,501,154,110
Fiat,Panda,Maglownica,474,502,274,140
Alfa Romeo,Gulia,Maglownica,238,271,232,310
Chevrolet,Camaro,Maglownica,334,360,173,380
BMW,e46,Sprzęgło dwumasowe,478,513,324,440
AUDI,A6,Sprzęgło dwumasowe,310,339,248,240
Volksvagen,Golf 7,Sprzęgło dwumasowe,689,714,364,330
Opel,Insignia,Sprzęgło dwumasowe,363,386,500,260
Skoda,Fabia,Sprzęgło dwumasowe,391,441,354,500
Mazda,mx5,Sprzęgło dwumasowe,526,555,404,300
Toyota,Corolla,Sprzęgło dwumasowe,596,636,333,340
Fiat,Panda,Sprzęgło dwumasowe,548,573,410,280
Alfa Romeo,Gulia,Sprzęgło dwumasowe,391,437,496,350
Chevrolet,Camaro,Sprzęgło dwumasowe,413,425,215,440
BMW,e46,Wtrysk bezpośredni paliwa,284,308,691,780
